date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:35	85/85	---MCZ	200	added ('OK')	text/plain	date:Fri,%2008%20Aug%202025%2022:17:34%20GMT	https://sites.google.com/robots.txt		(from )
18:17:36	109663/109663	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2022:17:35%20GMT	https://sites.google.com/view/bramptonfblc/	httrack_mirror/sites.google.com/view/bramptonfblc/index.html	(from )
18:17:36	98008/98008	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Aug%202025%2022:17:36%20GMT	https://sites.google.com/view/bramptonfblc/POST	httrack_mirror/sites.google.com/view/bramptonfblc/POST.0.delayed	(from https://sites.google.com/view/bramptonfblc/)
18:17:38	109694/109694	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2022:17:37%20GMT	https://sites.google.com/view/bramptonfblc/home	httrack_mirror/sites.google.com/view/bramptonfblc/home.html	(from https://sites.google.com/view/bramptonfblc/)
18:17:39	139444/139444	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2022:17:38%20GMT	https://sites.google.com/view/bramptonfblc/about-us	httrack_mirror/sites.google.com/view/bramptonfblc/about-us.html	(from https://sites.google.com/view/bramptonfblc/)
18:17:40	119477/119477	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2022:17:39%20GMT	https://sites.google.com/view/bramptonfblc/join-us	httrack_mirror/sites.google.com/view/bramptonfblc/join-us.html	(from https://sites.google.com/view/bramptonfblc/)
18:17:41	121012/121012	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2022:17:40%20GMT	https://sites.google.com/view/bramptonfblc/competitions	httrack_mirror/sites.google.com/view/bramptonfblc/competitions.html	(from https://sites.google.com/view/bramptonfblc/)
18:17:42	145612/145612	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2022:17:41%20GMT	https://sites.google.com/view/bramptonfblc/meet-the-team	httrack_mirror/sites.google.com/view/bramptonfblc/meet-the-team.html	(from https://sites.google.com/view/bramptonfblc/)
18:17:43	153442/153442	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2022:17:42%20GMT	https://sites.google.com/view/bramptonfblc/opportunities	httrack_mirror/sites.google.com/view/bramptonfblc/opportunities.html	(from https://sites.google.com/view/bramptonfblc/)
18:17:44	112851/112851	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2022:17:43%20GMT	https://sites.google.com/view/bramptonfblc/ai-blogs	httrack_mirror/sites.google.com/view/bramptonfblc/ai-blogs.html	(from https://sites.google.com/view/bramptonfblc/)
18:17:45	110197/110197	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2022:17:44%20GMT	https://sites.google.com/view/bramptonfblc/ai-blogs/how-ai-can-personalize-learning-experiences-for-every-student	httrack_mirror/sites.google.com/view/bramptonfblc/ai-blogs/how-ai-can-personalize-learning-experiences-for-every-student.html	(from https://sites.google.com/view/bramptonfblc/)
18:17:47	105802/105802	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2022:17:45%20GMT	https://sites.google.com/view/bramptonfblc/hq-website	httrack_mirror/sites.google.com/view/bramptonfblc/hq-website.html	(from https://sites.google.com/view/bramptonfblc/)
18:17:47	110324/110324	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Aug%202025%2022:17:46%20GMT	https://sites.google.com/view/bramptonfblc/connect	httrack_mirror/sites.google.com/view/bramptonfblc/connect.html	(from https://sites.google.com/view/bramptonfblc/)
